,ytid,start_time,class,set
0,dog_clip_239,0,dog,train
1,dog_clip_071,0,dog,train
2,dog_clip_056,0,dog,train
3,dog_clip_092,0,dog,train
4,dog_clip_339,0,dog,train
5,dog_clip_325,0,dog,train
6,dog_clip_254,0,dog,train
7,dog_clip_377,0,dog,train
8,dog_clip_095,0,dog,train
9,dog_clip_073,0,dog,train
10,dog_clip_293,0,dog,train
11,dog_clip_361,0,dog,train
12,dog_clip_300,0,dog,train
13,dog_clip_323,0,dog,train
14,dog_clip_022,0,dog,train
15,dog_clip_245,0,dog,train
16,dog_clip_219,0,dog,train
17,dog_clip_363,0,dog,train
18,dog_clip_225,0,dog,train
19,dog_clip_178,0,dog,train
20,dog_clip_060,0,dog,train
21,dog_clip_171,0,dog,train
22,dog_clip_183,0,dog,train
23,dog_clip_017,0,dog,train
24,dog_clip_009,0,dog,train
25,dog_clip_281,0,dog,train
26,dog_clip_001,0,dog,train
27,dog_clip_027,0,dog,train
28,dog_clip_205,0,dog,train
29,dog_clip_231,0,dog,train
30,dog_clip_163,0,dog,train
31,dog_clip_385,0,dog,train
32,dog_clip_223,0,dog,train
33,dog_clip_337,0,dog,train
34,dog_clip_016,0,dog,train
35,dog_clip_390,0,dog,train
36,dog_clip_029,0,dog,train
37,dog_clip_187,0,dog,train
38,dog_clip_065,0,dog,train
39,dog_clip_206,0,dog,train
40,dog_clip_373,0,dog,train
41,dog_clip_179,0,dog,train
42,dog_clip_070,0,dog,train
43,dog_clip_209,0,dog,train
44,dog_clip_172,0,dog,train
45,dog_clip_080,0,dog,train
46,dog_clip_064,0,dog,train
47,dog_clip_249,0,dog,train
48,dog_clip_150,0,dog,train
49,dog_clip_247,0,dog,train
50,dog_clip_067,0,dog,train
51,dog_clip_371,0,dog,train
52,dog_clip_211,0,dog,train
53,dog_clip_362,0,dog,train
54,dog_clip_259,0,dog,train
55,dog_clip_149,0,dog,train
56,dog_clip_155,0,dog,train
57,dog_clip_207,0,dog,train
58,dog_clip_019,0,dog,train
59,dog_clip_098,0,dog,train
60,dog_clip_185,0,dog,train
61,dog_clip_312,0,dog,train
62,dog_clip_083,0,dog,train
63,dog_clip_278,0,dog,train
64,dog_clip_386,0,dog,train
65,dog_clip_097,0,dog,train
66,dog_clip_268,0,dog,train
67,dog_clip_186,0,dog,train
68,dog_clip_328,0,dog,train
69,dog_clip_295,0,dog,train
70,dog_clip_326,0,dog,train
71,dog_clip_289,0,dog,train
72,dog_clip_378,0,dog,train
73,dog_clip_355,0,dog,train
74,dog_clip_258,0,dog,train
75,dog_clip_006,0,dog,train
76,dog_clip_357,0,dog,train
77,dog_clip_234,0,dog,train
78,dog_clip_282,0,dog,train
79,dog_clip_244,0,dog,train
80,dog_clip_068,0,dog,train
81,dog_clip_159,0,dog,train
82,dog_clip_086,0,dog,train
83,dog_clip_301,0,dog,train
84,dog_clip_177,0,dog,train
85,dog_clip_221,0,dog,train
86,dog_clip_396,0,dog,train
87,dog_clip_284,0,dog,train
88,dog_clip_292,0,dog,train
89,dog_clip_072,0,dog,train
90,dog_clip_334,0,dog,train
91,dog_clip_327,0,dog,train
92,dog_clip_084,0,dog,train
93,dog_clip_052,0,dog,train
94,dog_clip_105,0,dog,train
95,dog_clip_246,0,dog,train
96,dog_clip_191,0,dog,train
97,dog_clip_233,0,dog,train
98,dog_clip_099,0,dog,train
99,dog_clip_166,0,dog,train
100,dog_clip_164,0,dog,train
101,dog_clip_114,0,dog,train
102,dog_clip_101,0,dog,train
103,dog_clip_181,0,dog,train
104,dog_clip_033,0,dog,train
105,dog_clip_201,0,dog,train
106,dog_clip_375,0,dog,train
107,dog_clip_013,0,dog,train
108,dog_clip_376,0,dog,train
109,dog_clip_023,0,dog,train
110,dog_clip_263,0,dog,train
111,dog_clip_079,0,dog,train
112,dog_clip_344,0,dog,train
113,dog_clip_383,0,dog,train
114,dog_clip_333,0,dog,train
115,dog_clip_106,0,dog,train
116,dog_clip_395,0,dog,train
117,dog_clip_217,0,dog,train
118,dog_clip_308,0,dog,train
119,dog_clip_345,0,dog,train
120,dog_clip_269,0,dog,train
121,dog_clip_235,0,dog,train
122,dog_clip_212,0,dog,train
123,dog_clip_188,0,dog,train
124,dog_clip_291,0,dog,train
125,dog_clip_393,0,dog,train
126,dog_clip_012,0,dog,train
127,dog_clip_059,0,dog,train
128,dog_clip_062,0,dog,train
129,dog_clip_034,0,dog,train
130,dog_clip_391,0,dog,train
131,dog_clip_014,0,dog,train
132,dog_clip_115,0,dog,train
133,dog_clip_090,0,dog,train
134,dog_clip_311,0,dog,train
135,dog_clip_220,0,dog,train
136,dog_clip_127,0,dog,train
137,dog_clip_130,0,dog,train
138,dog_clip_058,0,dog,train
139,dog_clip_200,0,dog,train
140,dog_clip_270,0,dog,train
141,dog_clip_040,0,dog,train
142,dog_clip_226,0,dog,train
143,dog_clip_158,0,dog,train
144,dog_clip_154,0,dog,train
145,dog_clip_024,0,dog,train
146,dog_clip_192,0,dog,train
147,dog_clip_294,0,dog,train
148,dog_clip_018,0,dog,train
149,dog_clip_112,0,dog,train
150,dog_clip_214,0,dog,train
151,dog_clip_256,0,dog,train
152,dog_clip_119,0,dog,train
153,dog_clip_173,0,dog,train
154,dog_clip_397,0,dog,train
155,dog_clip_387,0,dog,train
156,dog_clip_324,0,dog,train
157,dog_clip_113,0,dog,train
158,dog_clip_280,0,dog,train
159,dog_clip_358,0,dog,train
160,dog_clip_153,0,dog,train
161,dog_clip_128,0,dog,train
162,dog_clip_144,0,dog,train
163,dog_clip_142,0,dog,train
164,dog_clip_331,0,dog,train
165,dog_clip_202,0,dog,train
166,dog_clip_049,0,dog,train
167,dog_clip_369,0,dog,train
168,dog_clip_370,0,dog,train
169,dog_clip_316,0,dog,train
170,dog_clip_008,0,dog,train
171,dog_clip_161,0,dog,train
172,dog_clip_307,0,dog,train
173,dog_clip_108,0,dog,train
174,dog_clip_381,0,dog,train
175,dog_clip_082,0,dog,train
176,dog_clip_162,0,dog,train
177,dog_clip_303,0,dog,train
178,dog_clip_139,0,dog,train
179,dog_clip_041,0,dog,train
180,dog_clip_136,0,dog,train
181,dog_clip_021,0,dog,train
182,dog_clip_088,0,dog,train
183,dog_clip_133,0,dog,train
184,dog_clip_160,0,dog,train
185,dog_clip_329,0,dog,train
186,dog_clip_288,0,dog,train
187,dog_clip_320,0,dog,train
188,dog_clip_218,0,dog,train
189,dog_clip_026,0,dog,train
190,dog_clip_230,0,dog,train
191,dog_clip_046,0,dog,train
192,dog_clip_203,0,dog,train
193,dog_clip_117,0,dog,train
194,dog_clip_007,0,dog,train
195,dog_clip_354,0,dog,train
196,dog_clip_050,0,dog,train
197,dog_clip_032,0,dog,train
198,dog_clip_237,0,dog,train
199,dog_clip_343,0,dog,train
200,dog_clip_148,0,dog,train
201,dog_clip_266,0,dog,train
202,dog_clip_276,0,dog,train
203,dog_clip_389,0,dog,train
204,dog_clip_382,0,dog,train
205,dog_clip_054,0,dog,train
206,dog_clip_204,0,dog,train
207,dog_clip_379,0,dog,train
208,dog_clip_277,0,dog,train
209,dog_clip_126,0,dog,train
210,dog_clip_031,0,dog,train
211,dog_clip_078,0,dog,train
212,dog_clip_317,0,dog,train
213,dog_clip_069,0,dog,train
214,dog_clip_124,0,dog,train
215,dog_clip_003,0,dog,train
216,dog_clip_208,0,dog,train
217,dog_clip_360,0,dog,train
218,dog_clip_061,0,dog,train
219,dog_clip_138,0,dog,train
