,ytid,start_time,class,set
0,clip_1_056,0,thunder,test
1,clip_1_130,0,thunder,test
2,clip_1_134,0,thunder,test
3,clip_1_108,0,thunder,test
4,clip_1_150,0,thunder,test
5,clip_1_093,0,thunder,test
6,clip_1_128,0,thunder,test
7,clip_1_072,0,thunder,test
8,clip_1_075,0,thunder,test
9,clip_1_082,0,thunder,test
10,clip_1_036,0,thunder,test
11,clip_1_162,0,thunder,test
12,clip_1_101,0,thunder,test
13,clip_1_105,0,thunder,test
14,clip_1_173,0,thunder,test
15,clip_1_129,0,thunder,test
16,clip_1_180,0,thunder,test
17,clip_1_170,0,thunder,test
18,clip_1_179,0,thunder,test
19,clip_1_016,0,thunder,test
20,clip_1_198,0,thunder,test
21,clip_1_154,0,thunder,test
22,clip_1_049,0,thunder,test
23,clip_1_199,0,thunder,test
24,clip_1_023,0,thunder,test
25,clip_1_071,0,thunder,test
26,clip_1_106,0,thunder,test
27,clip_1_165,0,thunder,test
28,clip_1_011,0,thunder,test
29,clip_1_114,0,thunder,test
30,clip_1_096,0,thunder,test
31,clip_1_007,0,thunder,test
32,clip_1_196,0,thunder,test
33,clip_1_059,0,thunder,test
34,clip_1_051,0,thunder,test
35,clip_1_184,0,thunder,test
36,clip_1_034,0,thunder,test
37,clip_1_160,0,thunder,test
38,clip_1_153,0,thunder,test
39,clip_1_097,0,thunder,test
40,clip_1_033,0,thunder,test
41,clip_1_107,0,thunder,test
42,clip_1_186,0,thunder,test
43,clip_1_066,0,thunder,test
44,clip_1_146,0,thunder,test
45,clip_1_149,0,thunder,test
46,clip_1_080,0,thunder,test
47,clip_1_190,0,thunder,test
48,clip_1_009,0,thunder,test
49,clip_1_032,0,thunder,test
50,clip_1_159,0,thunder,test
51,clip_1_183,0,thunder,test
52,clip_1_167,0,thunder,test
53,clip_1_191,0,thunder,test
54,clip_1_178,0,thunder,test
55,clip_1_113,0,thunder,test
56,clip_1_079,0,thunder,test
57,clip_1_121,0,thunder,test
58,clip_1_161,0,thunder,test
59,clip_1_004,0,thunder,test
