,ytid,start_time,class,set
15,--EquRwM9IQ,8,playing volleyball,train
490,-6FZ8x4RJic,375,playing volleyball,train
693,-9qHOY4PsGM,103,playing volleyball,train
716,-A6e83tl4Y8,31,playing volleyball,train
738,-AMP7Vj1ScE,59,playing volleyball,train
821,-BepfxVqDRA,2,playing volleyball,train
1226,-IFrazA2nwU,101,playing volleyball,train
1268,-IsiJ6DuBCM,44,playing volleyball,train
1410,-L0WSTOUfAU,182,playing volleyball,train
1853,-SPa5NgtBNE,362,playing volleyball,train
2052,-VevyIayGM0,0,playing volleyball,test
2117,-WVPBMV_qbY,39,playing volleyball,train
2178,-XIeLSecHSk,584,playing volleyball,train
2461,-aIKyXtwyF4,9,playing volleyball,train
2508,-au4E_nffzk,428,playing volleyball,train
2513,-b2QI8UA2ic,19,playing volleyball,train
2522,-bEkbv9dqNo,125,playing volleyball,train
2671,-dKDXMiXKLo,247,playing volleyball,train
2687,-d_FCx89tQc,38,playing volleyball,train
3008,-iwLYLOIlNA,186,playing volleyball,train
3010,-ixJF8EYBHg,338,playing volleyball,train
3011,-ixJF8EYBHg,435,playing volleyball,train
3040,-jK3mCH-VoI,25,playing volleyball,train
3162,-lJFoQRZT8k,279,playing volleyball,train
3439,-q6d9lsGhmc,116,playing volleyball,train
3755,-vBniaKo-Uk,74,playing volleyball,train
4330,02jwxV2OROQ,23,playing volleyball,train
4433,03vHOfg1Xus,15,playing volleyball,train
4765,08guf-U_jYY,452,playing volleyball,train
5705,0P4qmjqBg28,124,playing volleyball,train
5706,0P4qmjqBg28,215,playing volleyball,train
5921,0T-nkIto6r0,576,playing volleyball,train
6778,0egAeta6g1U,43,playing volleyball,train
7597,0swmgT8nGCA,227,playing volleyball,train
7876,0xiWpcy2dHI,49,playing volleyball,train
8124,11NKszi4u34,41,playing volleyball,train
9014,1Fz1owHrSyE,116,playing volleyball,train
9341,1M3B1LtTeWQ,45,playing volleyball,train
9496,1ORz3G4ssRc,139,playing volleyball,train
9497,1ORz3G4ssRc,184,playing volleyball,train
9873,1UdK3jjy8g8,203,playing volleyball,train
10686,1gfXVAUnJuw,84,playing volleyball,train
10847,1iws-9JiK6o,94,playing volleyball,train
11014,1m4YAGeR7RI,141,playing volleyball,train
11813,2-UNNqpi0f0,140,playing volleyball,train
12634,2D2AJ6Dg0-U,162,playing volleyball,test
12831,2GjVEs7l5rQ,52,playing volleyball,train
13740,2VaveF8LNwY,108,playing volleyball,train
13922,2YPdxJBc0Sg,336,playing volleyball,train
13923,2YPdxJBc0Sg,347,playing volleyball,train
14419,2ei5ygwZySA,52,playing volleyball,train
14469,2f_-ClQJ-bA,147,playing volleyball,train
14858,2nF5FG9GK9k,25,playing volleyball,test
15036,2qoNc9be5Vo,22,playing volleyball,train
15962,34TQ3PjMFuI,0,playing volleyball,train
16091,367GFZcNxgY,0,playing volleyball,train
17282,3Q-Wab_0rKo,204,playing volleyball,train
17546,3UcpvwuQy3M,99,playing volleyball,train
17679,3We3xzwdo6Y,74,playing volleyball,train
17803,3Yf0LJ62VVs,423,playing volleyball,train
17823,3YzfYec2nYE,89,playing volleyball,train
17824,3YzfYec2nYE,143,playing volleyball,train
17850,3ZLOxumjiGM,22,playing volleyball,train
18603,3lmZxzC0Bio,12,playing volleyball,train
19012,3tIzmrKbFf8,74,playing volleyball,train
19582,425tdcfbJJw,11,playing volleyball,train
19837,46gkmd8hhYo,125,playing volleyball,test
19951,48S_lD1bkMI,358,playing volleyball,train
20287,4DcXB80NZlc,116,playing volleyball,train
20288,4DcXB80NZlc,144,playing volleyball,train
20315,4EBODSgMB7g,26,playing volleyball,test
20558,4JHrz-LaBF0,22,playing volleyball,train
20609,4K345_DRFRk,56,playing volleyball,train
20753,4MenbEphFvc,9,playing volleyball,train
21205,4V1R-HYcYuk,2,playing volleyball,train
21276,4W2CHl_Rjy8,0,playing volleyball,train
21395,4YDIpW8APhg,1,playing volleyball,train
21700,4cNEKIg0eOA,46,playing volleyball,train
21701,4cNEKIg0eOA,57,playing volleyball,train
21751,4dSql5v0xW8,329,playing volleyball,train
21831,4eyg3kCvZ1A,196,playing volleyball,train
22177,4lLkPHKE_Gg,8,playing volleyball,train
22518,4rpb-aN9wXM,161,playing volleyball,train
22597,4tKLeXperAo,77,playing volleyball,train
23080,51DqtxjCXlw,63,playing volleyball,train
23438,5793zhrytks,10,playing volleyball,train
23841,5DpnGFxWZyo,403,playing volleyball,train
23897,5EuBcQr-alc,138,playing volleyball,train
23986,5GXG8uNK7QE,128,playing volleyball,train
24055,5HuigwGbFbo,139,playing volleyball,train
24089,5IbCejTVKNw,473,playing volleyball,train
24110,5J4K_BsmEuI,24,playing volleyball,train
24253,5Lmjq9Drcok,194,playing volleyball,train
24514,5RGmxhkjnqI,292,playing volleyball,train
24955,5Yp8n8W4rLw,4,playing volleyball,train
25080,5_vXCn766-s,11,playing volleyball,train
25081,5_vXCn766-s,22,playing volleyball,train
25372,5esS7nWMo-Q,47,playing volleyball,train
26338,5wTBby-sJUs,223,playing volleyball,train
26649,613nU6austA,40,playing volleyball,train
26650,613nU6austA,71,playing volleyball,train
27243,6ACv0-JWH80,113,playing volleyball,train
27273,6B1qNNmkpMs,134,playing volleyball,train
27343,6CGgare7kms,29,playing volleyball,train
27438,6Dwkt-j5Lb0,2,playing volleyball,train
27439,6Dwkt-j5Lb0,14,playing volleyball,train
27763,6JoF6AUx_5Y,298,playing volleyball,train
28018,6P6XCBCzbK4,66,playing volleyball,train
28025,6PKmuZS7aT4,82,playing volleyball,train
28284,6VArl9KMl7A,71,playing volleyball,train
29583,6ri3coZWpv8,8,playing volleyball,train
29784,6vqisnuRlFU,128,playing volleyball,train
30163,71FW0VoD4pw,14,playing volleyball,train
30205,720TodNLrTg,31,playing volleyball,train
30934,7E6S00599PQ,45,playing volleyball,train
31150,7ISU3KItL-I,115,playing volleyball,train
31270,7KzlEQFVkKQ,108,playing volleyball,train
31611,7R9cXX2SR7w,64,playing volleyball,train
31679,7SZtMJ3SPbQ,141,playing volleyball,train
31695,7Skf53ywN5s,96,playing volleyball,train
31813,7VAGvfWSQlI,0,playing volleyball,train
32057,7_NjB8ib3MU,36,playing volleyball,test
32147,7aslHXBT2aw,33,playing volleyball,train
32563,7i3UB2waZdA,62,playing volleyball,train
32912,7pTWYLzVPmA,419,playing volleyball,train
32976,7qomOFUJ10k,80,playing volleyball,train
33130,7tsXBkB9AZo,124,playing volleyball,train
33377,7zFXPaUjSEQ,1,playing volleyball,train
33417,8-Sh3oJJIGA,15,playing volleyball,train
33418,8-Sh3oJJIGA,39,playing volleyball,train
33473,80c_Zp8MKU4,23,playing volleyball,train
33600,83dLfXybHtk,229,playing volleyball,train
34102,8C3VQzyZ2jQ,44,playing volleyball,train
34182,8E0UtkOJ4ME,10,playing volleyball,train
34246,8F7Bif5b6cY,78,playing volleyball,train
34743,8OGU2iV-K9s,4,playing volleyball,train
35035,8TkcZw5pReg,5,playing volleyball,train
35068,8UWiVTDQKTQ,104,playing volleyball,train
35958,8lpeVffpAL0,97,playing volleyball,train
35994,8mhFuAM5D_Q,45,playing volleyball,train
36117,8oySw15f7ps,0,playing volleyball,train
36151,8phaHb0lHQc,33,playing volleyball,train
36343,8uB9Ls2aAwY,130,playing volleyball,train
36415,8v_onuGbdyE,12,playing volleyball,train
36566,8yw_BJQuR8M,141,playing volleyball,train
36715,916Zov8ptww,133,playing volleyball,train
37272,9BVlwS7hqbQ,51,playing volleyball,train
37327,9CUgMnVn454,345,playing volleyball,train
37766,9L2XmwZnrs4,32,playing volleyball,train
37975,9Pun6fgAg8Q,64,playing volleyball,train
38325,9WQsZI4ansc,154,playing volleyball,train
38411,9YE6i07nokE,92,playing volleyball,train
38693,9cb2F2DUiD4,30,playing volleyball,train
38775,9dx2ToN1JLA,209,playing volleyball,train
38877,9fmxLCsZE2s,89,playing volleyball,train
39057,9jT39DKgH_E,149,playing volleyball,train
39224,9mjQo6GmRpg,13,playing volleyball,train
39265,9nT86sVZKT8,48,playing volleyball,train
39385,9ppKcIUnzTw,19,playing volleyball,train
40161,A4JgBlY89-c,125,playing volleyball,train
40258,A69_hm6mMrU,23,playing volleyball,test
40417,A98bdJ6rkIg,17,playing volleyball,train
40503,AAFZZWt-lnw,15,playing volleyball,train
40523,AA_JmBlopFY,113,playing volleyball,train
40780,AF1xu4v1zW0,3,playing volleyball,train
40781,AF1xu4v1zW0,34,playing volleyball,train
40835,AG-1ievLHDw,414,playing volleyball,train
40949,AI4v1BumcF4,8,playing volleyball,train
41084,AKOsAamoSb8,409,playing volleyball,train
41085,AKOsAamoSb8,456,playing volleyball,train
41181,ALsyy9ZDYMs,19,playing volleyball,train
41182,ALsyy9ZDYMs,155,playing volleyball,train
41391,APlGft_kHRI,70,playing volleyball,train
41716,AWMLktP-bds,8,playing volleyball,train
41729,AWWOFum__kY,312,playing volleyball,train
41926,A_VUtcKgmog,110,playing volleyball,train
41987,AadvUsQPixs,28,playing volleyball,train
42799,AnsAjksOTJs,38,playing volleyball,train
42816,Ao5t9Yq3LvU,21,playing volleyball,train
42940,AqNN6yEA9IE,104,playing volleyball,train
42998,ArgZyVIq0yk,99,playing volleyball,train
43072,AtVndGkIwyg,2,playing volleyball,train
43162,AvIbv-MjpxY,63,playing volleyball,test
43204,AwAFAi8sa-0,450,playing volleyball,test
43300,Axs0OsuCKOs,204,playing volleyball,train
43574,B23bjt_wJy8,119,playing volleyball,test
43910,B8oYBMy7POs,177,playing volleyball,train
44089,BBVzdbZgSdc,27,playing volleyball,train
44987,BT2Z0tftfl0,31,playing volleyball,train
45130,BVJAZUErQq4,116,playing volleyball,train
45925,BjbAhsahVgU,28,playing volleyball,train
46508,Bunkb8t_KOc,206,playing volleyball,train
46687,ByWvnj3lLZ0,2,playing volleyball,train
46877,C1Hhhq99YIo,6,playing volleyball,train
47403,CA1YSu161Ck,81,playing volleyball,train
47610,CEWnNoK8LVQ,90,playing volleyball,test
47648,CF9FibYFQfQ,28,playing volleyball,train
47853,CJ0cuUPDpMY,173,playing volleyball,train
48250,CQsvbSaaafc,45,playing volleyball,train
48339,CSh59tUevEM,11,playing volleyball,train
48340,CSh59tUevEM,238,playing volleyball,train
48478,CUvIqWXgc7w,598,playing volleyball,train
48553,CWKPEl5AsFE,117,playing volleyball,train
48633,CXq5MGxKM0k,0,playing volleyball,train
48738,CZl0tKcJkj0,89,playing volleyball,train
49072,Cf1N4pGAj6A,125,playing volleyball,train
49337,CjQa054tuQs,75,playing volleyball,train
49383,CkHE-OUnN_Q,49,playing volleyball,train
49935,CuYne-sk5C4,82,playing volleyball,train
50531,D5Ygd2dly9E,210,playing volleyball,train
50656,D7sYo1XWj5Y,36,playing volleyball,test
50741,D9flW20GfV8,55,playing volleyball,train
51360,DL3nzHWSyz0,172,playing volleyball,train
51377,DLRRs9GyQY8,84,playing volleyball,train
51422,DMNFJ_mNz3M,15,playing volleyball,test
51652,DQVlm6cRowU,271,playing volleyball,train
51897,DVRqUwvuuiQ,15,playing volleyball,train
52279,Db6AUvwk8Wk,37,playing volleyball,train
52952,DmEt4cmaa3k,53,playing volleyball,train
52953,DmEt4cmaa3k,263,playing volleyball,train
53150,DpjoSoXfhWs,93,playing volleyball,train
53423,DuU64QvwMxE,398,playing volleyball,train
53621,DyDa7ZbN1dI,74,playing volleyball,train
53767,E-wTo07QH7o,24,playing volleyball,train
53768,E-wTo07QH7o,88,playing volleyball,train
53891,E2u-PM403CE,149,playing volleyball,train
54029,E5J4lv-eG8c,29,playing volleyball,train
54164,E7jshFX4_wc,6,playing volleyball,train
54267,E98pc4DIeQw,379,playing volleyball,train
54625,EFE_X4hyzUM,48,playing volleyball,train
55216,EQuUepsdemc,183,playing volleyball,train
55426,EV0AJlphBUM,8,playing volleyball,train
55552,EXWB2151JBU,93,playing volleyball,train
56245,EjY2wG3xRI0,19,playing volleyball,train
56509,EocnDJMoga0,107,playing volleyball,train
56718,EsevuwL8fqg,186,playing volleyball,train
56863,EvIZC-vFO60,141,playing volleyball,test
56981,ExubBk4M7yk,372,playing volleyball,train
57136,F-sv2PHaZwQ,24,playing volleyball,train
57361,F3zZtNNNEus,100,playing volleyball,test
57381,F4R1hDSyr2M,359,playing volleyball,train
57399,F4zSIVVwYOc,146,playing volleyball,train
57747,FCsgw6HPl7Y,98,playing volleyball,train
57869,FFQPxQAoulI,56,playing volleyball,train
57891,FFmaYNNL1-c,33,playing volleyball,train
58274,FNLsG0fb8Z8,318,playing volleyball,train
58485,FRipKtQVr4w,206,playing volleyball,train
58521,FSWurLWgshc,308,playing volleyball,train
58527,FSgfUCYGJKU,3,playing volleyball,train
58538,FT1rZvPJVuk,6,playing volleyball,train
58715,FWm8k4_yJ5g,7,playing volleyball,train
58716,FWm8k4_yJ5g,18,playing volleyball,train
